DB00005	Etanercept	Prostaglandin G/H synthase 2	Human	P35354	inhibitor
DB00091	Cyclosporine	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00091	Cyclosporine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00091	Cyclosporine	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00104	Octreotide	Myeloperoxidase	Human	P05164	inhibitor
DB00105	Interferon Alfa-2b, Recombinant	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00107	Oxytocin	Prolyl endopeptidase	Human	P48147	substrate
DB00109	Enfuvirtide	Cytochrome P450 2C19	Human	P33261	substrate
DB00109	Enfuvirtide	Cytochrome P450 2E1	Human	P05181	substrate
DB00115	Cyanocobalamin	Aminomethyltransferase, mitochondrial	None	None	None
DB00115	Cyanocobalamin	Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial	None	None	None
DB00115	Cyanocobalamin	Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial	Human	Q96EY8	substrate
DB00115	Cyanocobalamin	Methylmalonyl-CoA mutase, mitochondrial	Human	P22033	inducer
DB00115	Cyanocobalamin	Methionine synthase	Human	Q99707	inducer
DB00115	Cyanocobalamin	Bifunctional adenosylcobalamin biosynthesis protein CobU	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Q05599	None
DB00118	Ademetionine	Cytochrome P450 2E1	Human	P05181	inhibitor
DB00118	Ademetionine	Spermidine synthase	Human	P19623	substrate
DB00121	Biotin	Cytochrome P450 1B1	Human	Q16678	inducer
DB00122	Choline	Choline/ethanolaminephosphotransferase 1	Human	Q9Y6K0	substrate
DB00122	Choline	Choline/ethanolamine kinase	Human	Q9Y259	substrate
DB00122	Choline	Choline O-acetyltransferase	Human	P28329	substrate
DB00122	Choline	Choline kinase alpha	Human	P35790	substrate
DB00122	Choline	Choline dehydrogenase, mitochondrial	Human	Q8NE62	substrate
DB00127	Spermine	Xanthine dehydrogenase/oxidase	Human	P47989	inhibitor
DB00127	Spermine	Diamine acetyltransferase 1	Human	P21673	substrate
DB00127	Spermine	Diamine acetyltransferase 2	Human	Q96F10	substrate
DB00130	L-Glutamine	Coagulation factor XIII A chain	Human	P00488	substrate
DB00130	L-Glutamine	Glutaminase kidney isoform, mitochondrial	Human	O94925	substrate
DB00130	L-Glutamine	Glutaminase liver isoform, mitochondrial	Human	Q9UI32	substrate
DB00130	L-Glutamine	Protein-glutamine gamma-glutamyltransferase 2	Human	P21980	substrate
DB00130	L-Glutamine	Protein-glutamine gamma-glutamyltransferase 5	Human	O43548	substrate
DB00130	L-Glutamine	Protein-glutamine gamma-glutamyltransferase 6	Human	O95932	substrate
DB00130	L-Glutamine	Protein-glutamine gamma-glutamyltransferase K	Human	P22735	substrate
DB00130	L-Glutamine	Protein-glutamine gamma-glutamyltransferase 4	Human	P49221	substrate
DB00130	L-Glutamine	Protein-glutamine gamma-glutamyltransferase E	Human	Q08188	substrate
DB00130	L-Glutamine	Protein-glutamine gamma-glutamyltransferase Z	Human	Q96PF1	substrate
DB00130	L-Glutamine	GMP synthase [glutamine-hydrolyzing]	Human	P49915	substrate
DB00130	L-Glutamine	Asparagine synthetase [glutamine-hydrolyzing]	Human	P08243	substrate
DB00130	L-Glutamine	Kynurenine--oxoglutarate transaminase 1	Human	Q16773	substrate
DB00130	L-Glutamine	Phosphoribosylformylglycinamidine synthase	Human	O15067	substrate
DB00130	L-Glutamine	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	Human	O75879	substrate
DB00130	L-Glutamine	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	Human	O94808	substrate
DB00130	L-Glutamine	CAD protein	Human	P27708	substrate
DB00130	L-Glutamine	Glutamine--tRNA ligase	Human	P47897	substrate
DB00130	L-Glutamine	Glutamine-dependent NAD(+) synthetase	Human	Q6IA69	substrate
DB00131	Adenosine monophosphate	AMP deaminase 1	Human	P23109	substrate
DB00131	Adenosine monophosphate	Adenine phosphoribosyltransferase	Human	P07741	substrate
DB00134	Methionine	Glutamine synthetase	Human	P15104	inhibitor
DB00134	Methionine	Methylenetetrahydrofolate reductase	Human	P42898	inhibitor
DB00134	Methionine	S-adenosylmethionine synthase isoform type-2	Human	P31153	substrate
DB00134	Methionine	Methionine-R-sulfoxide reductase B2, mitochondrial	Human	Q9Y3D2	substrate
DB00134	Methionine	S-adenosylmethionine synthase isoform type-1	Human	Q00266	substrate
DB00134	Methionine	Methionine-R-sulfoxide reductase B1	Human	Q9NZV6	substrate
DB00134	Methionine	Mitochondrial peptide methionine sulfoxide reductase	Human	Q9UJ68	substrate
DB00134	Methionine	Methionine--tRNA ligase, cytoplasmic	Human	P56192	substrate
DB00134	Methionine	Methionine--tRNA ligase, mitochondrial	Human	Q96GW9	substrate
DB00134	Methionine	Methionine adenosyltransferase 2 subunit beta	Human	Q9NZL9	substrate
DB00136	Calcitriol	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	Human	Q07973	substrate
DB00136	Calcitriol	Cytochrome P450 3A4	Human	P08684	substrate
DB00140	Riboflavin	Amine oxidase [flavin-containing] A	Human	P21397	cofactor
DB00140	Riboflavin	Methylenetetrahydrofolate reductase	Human	P42898	cofactor
DB00143	Glutathione	Glutathione S-transferase A2	Human	P09210	substrate
DB00143	Glutathione	Glutathione S-transferase A1	Human	P08263	substrate
DB00146	Calcidiol	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	Human	O15528	substrate
DB00146	Calcidiol	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	Human	Q07973	substrate
DB00150	L-Tryptophan	Tryptophan 2,3-dioxygenase	Human	P48775	substrate
DB00150	L-Tryptophan	Aromatic-L-amino-acid decarboxylase	Human	P20711	substrate
DB00150	L-Tryptophan	Tryptophan--tRNA ligase	Geobacillus stearothermophilus	P00953	substrate
DB00150	L-Tryptophan	Tryptophan--tRNA ligase, mitochondrial	Human	Q9UGM6	substrate
DB00150	L-Tryptophan	Tryptophan 5-hydroxylase 1	Human	P17752	substrate
DB00150	L-Tryptophan	Tryptophan 5-hydroxylase 2	Human	Q8IWU9	substrate
DB00150	L-Tryptophan	Tryptophan--tRNA ligase, cytoplasmic	Human	P23381	substrate
DB00150	L-Tryptophan	Indoleamine 2,3-dioxygenase 1	Human	P14902	substrate
DB00152	Thiamine	Cytochrome P450 4B1	Human	P13584	inducer
DB00153	Ergocalciferol	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	Human	Q07973	substrate
DB00153	Ergocalciferol	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	Human	O15528	substrate
DB00153	Ergocalciferol	Sterol 26-hydroxylase, mitochondrial	Human	Q02318	substrate
DB00153	Ergocalciferol	Cytochrome P450 3A4	Human	P08684	substrate
DB00153	Ergocalciferol	Vitamin D 25-hydroxylase	Human	Q6VVX0	substrate
DB00157	NADH	Xanthine dehydrogenase/oxidase	Human	P47989	substrate
DB00157	NADH	Aldehyde oxidase	Human	Q06278	substrate
DB00157	NADH	Alcohol dehydrogenase 6	Human	P28332	substrate
DB00157	NADH	Alcohol dehydrogenase [NADP(+)]	Human	P14550	substrate
DB00157	NADH	Alcohol dehydrogenase 1A	Human	P07327	substrate
DB00157	NADH	Alcohol dehydrogenase 1B	Human	P00325	substrate
DB00157	NADH	Alcohol dehydrogenase 4	Human	P08319	substrate
DB00157	NADH	Alcohol dehydrogenase class-3	Human	P11766	substrate
DB00157	NADH	Alcohol dehydrogenase class 4 mu/sigma chain	Human	P40394	substrate
DB00158	Folic Acid	Cytochrome P450 2E1	Human	P05181	substrate
DB00158	Folic Acid	Gamma-glutamyl hydrolase	Human	Q92820	substrate
DB00158	Folic Acid	Methylenetetrahydrofolate reductase	Human	P42898	substrate
DB00161	L-Valine	Valine--tRNA ligase	Human	P26640	substrate
DB00161	L-Valine	Propionyl-CoA carboxylase beta chain, mitochondrial	Human	P05166	substrate
DB00161	L-Valine	Branched-chain-amino-acid aminotransferase, cytosolic	Human	P54687	substrate
DB00162	Vitamin A	Cytochrome P450 1A1	None	None	None
DB00162	Vitamin A	Cytochrome P450 1A2	None	None	None
DB00162	Vitamin A	Cytochrome P450 3A4	None	None	None
DB00162	Vitamin A	Cytochrome P450 1B1	None	None	None
DB00162	Vitamin A	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00162	Vitamin A	Cytochrome P450 26A1	Human	O43174	inducer
DB00163	Vitamin E	Glutathione S-transferase A2	Human	P09210	inducer
DB00163	Vitamin E	Glutathione S-transferase P	Human	P09211	inhibitor
DB00163	Vitamin E	Glutathione S-transferase omega-1	Human	P78417	inhibitor
DB00163	Vitamin E	Glutathione S-transferase Mu 3	Human	P21266	inducer
DB00163	Vitamin E	Glutamate--cysteine ligase catalytic subunit	Human	P48506	inducer
DB00163	Vitamin E	NAD(P)H dehydrogenase [quinone] 1	Human	P15559	inducer
DB00163	Vitamin E	Heme oxygenase 1	Human	P09601	inducer
DB00163	Vitamin E	Superoxide dismutase [Cu-Zn]	Human	P00441	inducer
DB00165	Pyridoxine	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00166	Lipoic Acid	NADPH--cytochrome P450 reductase	Human	P16435	inhibitor
DB00169	Cholecalciferol	Vitamin D 25-hydroxylase	Human	Q6VVX0	substrate
DB00169	Cholecalciferol	Sterol 26-hydroxylase, mitochondrial	Human	Q02318	substrate
DB00169	Cholecalciferol	Cytochrome P450 2J2	Human	P51589	substrate
DB00169	Cholecalciferol	Cytochrome P450 3A4	Human	P08684	substrate
DB00169	Cholecalciferol	Cholesterol side-chain cleavage enzyme, mitochondrial	Human	P05108	substrate
DB00169	Cholecalciferol	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00169	Cholecalciferol	Cytochrome P450 2B6	Human	P20813	inhibitor
DB00169	Cholecalciferol	Cytochrome P450 2C19	Human	P33261	inhibitor
DB00169	Cholecalciferol	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00169	Cholecalciferol	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00169	Cholecalciferol	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00170	Menadione	Xanthine dehydrogenase/oxidase	Human	P47989	substrate
DB00170	Menadione	Aldehyde oxidase	Human	Q06278	inhibitor
DB00170	Menadione	Cytochrome P450 2E1	Human	P05181	substrate
DB00170	Menadione	Methylenetetrahydrofolate reductase	Human	P42898	substrate
DB00170	Menadione	Cytochrome P450 1A1	Human	P04798	substrate
DB00170	Menadione	Cytochrome P450 1A2	Human	P05177	substrate
DB00170	Menadione	Cytochrome P450 2A6	Human	P11509	inhibitor
DB00172	L-Proline	Proline dehydrogenase 1, mitochondrial	Human	O43272	substrate
DB00173	Adenine	UDP-glucuronosyltransferase 1-1	Human	P22309	inhibitor
DB00175	Pravastatin	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00175	Pravastatin	Cytochrome P450 2C9	Human	P11712	substrate
DB00175	Pravastatin	Cytochrome P450 3A4	Human	P08684	substrate
DB00175	Pravastatin	Cytochrome P450 3A5	Human	P20815	substrate
DB00176	Fluvoxamine	Cytochrome P450 2D6	None	None	None
DB00176	Fluvoxamine	Cytochrome P450 1A2	None	None	None
DB00176	Fluvoxamine	Cytochrome P450 1A2	None	None	None
DB00176	Fluvoxamine	Cytochrome P450 2D6	Human	P10635	substrate
DB00176	Fluvoxamine	Cytochrome P450 1A2	Human	P05177	substrate
DB00176	Fluvoxamine	Cytochrome P450 2E1	Human	P05181	substrate
DB00176	Fluvoxamine	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00176	Fluvoxamine	Cytochrome P450 3A4	Human	P08684	inhibitor
DB00176	Fluvoxamine	Cytochrome P450 3A5	Human	P20815	inhibitor
DB00176	Fluvoxamine	Cytochrome P450 3A7	Human	P24462	inhibitor
DB00176	Fluvoxamine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00176	Fluvoxamine	Cytochrome P450 2C19	Human	P33261	inhibitor
DB00176	Fluvoxamine	Cytochrome P450 2B6	Human	P20813	inhibitor
DB00176	Fluvoxamine	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00177	Valsartan	Cytochrome P450 2C9	None	None	None
DB00177	Valsartan	Cytochrome P450 2C9	Human	P11712	substrate
DB00178	Ramipril	Liver esterases	None	None	None
DB00178	Ramipril	Cholinesterase	Human	P06276	inhibitor
DB00179	Masoprocol	Cytochrome P450 2J2	Human	P51589	inhibitor
DB00180	Flunisolide	Cytochrome P450 3A4	Human	P08684	substrate
DB00182	Amphetamine	Cytochrome P450 2D6	None	None	None
DB00182	Amphetamine	Cytochrome P450 2D6	Human	P10635	substrate
DB00182	Amphetamine	Cytochrome P450 2A6	Human	P11509	inhibitor
DB00183	Pentagastrin	Cholinesterase	Human	P06276	inducer
DB00184	Nicotine	Cytochrome P450 2A6	None	None	None
DB00184	Nicotine	Cytochrome P450 2B6	None	None	None
DB00184	Nicotine	UDP-glucuronosyltransferase 1-4	None	None	None
DB00184	Nicotine	UDP-glucuronosyltransferase 1-9	None	None	None
DB00184	Nicotine	Dimethylaniline monooxygenase [N-oxide-forming] 3	None	None	None
DB00184	Nicotine	Cytochrome P450 2A6	None	None	None
DB00184	Nicotine	Cytochrome P450 2B6	None	None	None
DB00184	Nicotine	Cytochrome P450 3A4	None	None	None
DB00184	Nicotine	Cytochrome P450 2A6	None	None	None
DB00184	Nicotine	Aldehyde oxidase	None	None	None
DB00184	Nicotine	Cytochrome P450 2A6	None	None	None
DB00184	Nicotine	Dimethylaniline monooxygenase [N-oxide-forming] 3	None	None	None
DB00184	Nicotine	UDP-glucuronosyltransferase 1-4	None	None	None
DB00184	Nicotine	UDP-glucuronosyltransferase 1-9	None	None	None
DB00184	Nicotine	Cytochrome P450 2A6	Human	P11509	substrate
DB00184	Nicotine	Cytochrome P450 2E1	Human	P05181	substrate
DB00184	Nicotine	Cytochrome P450 2A13	Human	Q16696	substrate
DB00184	Nicotine	Cytochrome P450 2B6	Human	P20813	substrate
DB00184	Nicotine	Cytochrome P450 1A1	Human	P04798	substrate
DB00184	Nicotine	Cytochrome P450 1A2	Human	P05177	substrate
DB00184	Nicotine	Cytochrome P450 2C19	Human	P33261	substrate
DB00184	Nicotine	Cytochrome P450 2C8	Human	P10632	substrate
DB00184	Nicotine	Cytochrome P450 2C9	Human	P11712	substrate
DB00184	Nicotine	Cytochrome P450 2D6	Human	P10635	substrate
DB00184	Nicotine	Cytochrome P450 3A4	Human	P08684	substrate
DB00184	Nicotine	Amine oxidase [flavin-containing] A	Human	P21397	inhibitor
DB00184	Nicotine	Amine oxidase [flavin-containing] B	Human	P27338	inhibitor
DB00185	Cevimeline	Cytochrome P450 3A4	None	None	None
DB00185	Cevimeline	Cytochrome P450 2D6	None	None	None
DB00185	Cevimeline	Cytochrome P450 3A4	None	None	None
DB00185	Cevimeline	Cytochrome P450 2D6	None	None	None
DB00185	Cevimeline	Dimethylaniline monooxygenase [N-oxide-forming] 1	None	None	None
DB00185	Cevimeline	Cytochrome P450 2D6	Human	P10635	substrate
DB00185	Cevimeline	Cytochrome P450 3A4	Human	P08684	substrate
DB00185	Cevimeline	Dimethylaniline monooxygenase [N-oxide-forming] 1	Human	Q01740	substrate
DB00186	Lorazepam	UDP-glucuronosyltransferase 2B15	Human	P54855	substrate
DB00188	Bortezomib	Cytochrome P450 2C9	None	None	None
DB00188	Bortezomib	Cytochrome P450 2C19	None	None	None
DB00188	Bortezomib	Cytochrome P450 2D6	None	None	None
DB00188	Bortezomib	Cytochrome P450 3A4	None	None	None
DB00188	Bortezomib	Cytochrome P450 2C9	None	None	None
DB00188	Bortezomib	Cytochrome P450 2C19	None	None	None
DB00188	Bortezomib	Cytochrome P450 2D6	None	None	None
DB00188	Bortezomib	Cytochrome P450 3A4	None	None	None
DB00188	Bortezomib	Cytochrome P450 3A4	None	None	None
DB00188	Bortezomib	Cytochrome P450 2C19	None	None	None
DB00188	Bortezomib	Cytochrome P450 1A2	None	None	None
DB00188	Bortezomib	Cytochrome P450 2D6	None	None	None
DB00188	Bortezomib	Cytochrome P450 3A4	None	None	None
DB00188	Bortezomib	Cytochrome P450 2C19	None	None	None
DB00188	Bortezomib	Cytochrome P450 1A2	None	None	None
DB00188	Bortezomib	Cytochrome P450 2D6	None	None	None
DB00188	Bortezomib	Cytochrome P450 3A4	None	None	None
DB00188	Bortezomib	Cytochrome P450 3A4	Human	P08684	substrate
DB00188	Bortezomib	Cytochrome P450 2C19	Human	P33261	substrate
DB00188	Bortezomib	Cytochrome P450 2D6	Human	P10635	substrate
DB00188	Bortezomib	Cytochrome P450 1A2	Human	P05177	substrate
DB00188	Bortezomib	Cytochrome P450 2C9	Human	P11712	substrate
DB00191	Phentermine	Amine oxidase [flavin-containing] A	Human	P21397	inhibitor
DB00191	Phentermine	Amine oxidase [flavin-containing] B	Human	P27338	inhibitor
DB00191	Phentermine	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00191	Phentermine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00191	Phentermine	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00193	Tramadol	Cytochrome P450 2D6	None	None	None
DB00193	Tramadol	Cytochrome P450 3A4	None	None	None
DB00193	Tramadol	UDP-glucuronosyltransferase 2B7	None	None	None
DB00193	Tramadol	UDP-glucuronosyltransferase 1-8	None	None	None
DB00193	Tramadol	Cytochrome P450 2D6	None	None	None
DB00193	Tramadol	Cytochrome P450 2D6	None	None	None
DB00193	Tramadol	Cytochrome P450 3A4	None	None	None
DB00193	Tramadol	Cytochrome P450 2B6	None	None	None
DB00193	Tramadol	Cytochrome P450 2D6	Human	P10635	substrate
DB00193	Tramadol	Cytochrome P450 3A4	Human	P08684	substrate
DB00193	Tramadol	Cytochrome P450 2B6	Human	P20813	substrate
DB00193	Tramadol	UDP-glucuronosyltransferase 1-1	Human	P22309	substrate
DB00194	Vidarabine	Adenosine deaminase	Human	P00813	substrate
DB00195	Betaxolol	Cytochrome P450 1A2	Human	P05177	substrate
DB00195	Betaxolol	Cytochrome P450 2D6	Human	P10635	substrate
DB00196	Fluconazole	Cytochrome P450 3A4	Human	P08684	inhibitor
DB00196	Fluconazole	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00196	Fluconazole	Cytochrome P450 2C19	Human	P33261	inhibitor
DB00196	Fluconazole	Cytochrome P450 3A5	Human	P20815	inhibitor
DB00196	Fluconazole	Cytochrome P450 3A7	Human	P24462	inhibitor
DB00196	Fluconazole	Cytochrome P450 11B1, mitochondrial	Human	P15538	inhibitor
DB00196	Fluconazole	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00199	Erythromycin	Cytochrome P450 3A4	None	None	None
DB00199	Erythromycin	Cytochrome P450 3A4	None	None	None
DB00199	Erythromycin	Cytochrome P450 2B6	None	None	None
DB00199	Erythromycin	Cytochrome P450 3A4	Human	P08684	substrate
DB00199	Erythromycin	Cytochrome P450 3A7	Human	P24462	substrate
DB00199	Erythromycin	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00199	Erythromycin	Cytochrome P450 2B6	Human	P20813	substrate
DB00199	Erythromycin	Cytochrome P450 3A5	Human	P20815	inhibitor
DB00201	Caffeine	Cytochrome P450 1A2	None	None	None
DB00201	Caffeine	Cytochrome P450 2E1	None	None	None
DB00201	Caffeine	Cytochrome P450 1A2	None	None	None
DB00201	Caffeine	Cytochrome P450 2E1	None	None	None
DB00201	Caffeine	Cytochrome P450 2C8	None	None	None
DB00201	Caffeine	Cytochrome P450 2C9	None	None	None
DB00201	Caffeine	Cytochrome P450 3A4	None	None	None
DB00201	Caffeine	Cytochrome P450 2C8	None	None	None
DB00201	Caffeine	Cytochrome P450 2C9	None	None	None
DB00201	Caffeine	Cytochrome P450 3A4	None	None	None
DB00201	Caffeine	Cytochrome P450 1A2	None	None	None
DB00201	Caffeine	Cytochrome P450 2E1	None	None	None
DB00201	Caffeine	Cytochrome P450 1A2	None	None	None
DB00201	Caffeine	Cytochrome P450 1A2	None	None	None
DB00201	Caffeine	Cytochrome P450 2A6	None	None	None
DB00201	Caffeine	Cytochrome P450 1A2	None	None	None
DB00201	Caffeine	Arylamine N-acetyltransferase 2	None	None	None
DB00201	Caffeine	Xanthine dehydrogenase/oxidase	None	None	None
DB00201	Caffeine	Cytochrome P450 3A5	Human	P20815	substrate
DB00201	Caffeine	Cytochrome P450 1A2	Human	P05177	substrate
DB00201	Caffeine	Cytochrome P450 3A7	Human	P24462	substrate
DB00201	Caffeine	Cytochrome P450 3A4	Human	P08684	substrate
DB00201	Caffeine	Cytochrome P450 2E1	Human	P05181	substrate
DB00201	Caffeine	Cytochrome P450 2C8	Human	P10632	substrate
DB00201	Caffeine	Cytochrome P450 2C9	Human	P11712	substrate
DB00201	Caffeine	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00201	Caffeine	Cytochrome P450 1B1	Human	Q16678	substrate
DB00201	Caffeine	Cytochrome P450 2D6	Human	P10635	substrate
DB00202	Succinylcholine	Cholinesterase	Human	P06276	substrate
DB00203	Sildenafil	Cytochrome P450 3A4	None	None	None
DB00203	Sildenafil	Cytochrome P450 2C9	None	None	None
DB00203	Sildenafil	Cytochrome P450 2C19	None	None	None
DB00203	Sildenafil	Cytochrome P450 2D6	None	None	None
DB00203	Sildenafil	Cytochrome P450 3A4	None	None	None
DB00203	Sildenafil	Cytochrome P450 2C19	None	None	None
DB00203	Sildenafil	Cytochrome P450 2D6	None	None	None
DB00203	Sildenafil	Cytochrome P450 2C9	None	None	None
DB00203	Sildenafil	Cytochrome P450 3A4	Human	P08684	substrate
DB00203	Sildenafil	Cytochrome P450 3A5	Human	P20815	substrate
DB00203	Sildenafil	Cytochrome P450 3A7	Human	P24462	substrate
DB00203	Sildenafil	Cytochrome P450 2C9	Human	P11712	substrate
DB00203	Sildenafil	Cytochrome P450 2C19	Human	P33261	substrate
DB00203	Sildenafil	Cytochrome P450 2D6	Human	P10635	substrate
DB00203	Sildenafil	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00203	Sildenafil	Cytochrome P450 2E1	Human	P05181	substrate
DB00204	Dofetilide	Cytochrome P450 3A4	Human	P08684	substrate
DB00205	Pyrimethamine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00205	Pyrimethamine	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00205	Pyrimethamine	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00206	Reserpine	Cytochrome P450 3A5	Human	P20815	inducer
DB00207	Azithromycin	Cytochrome P450 2A6	Human	P11509	inhibitor
DB00207	Azithromycin	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00207	Azithromycin	Cytochrome P450 3A4	Human	P08684	substrate
DB00208	Ticlopidine	Myeloperoxidase	None	None	None
DB00208	Ticlopidine	Cytochrome P450 3A4	None	None	None
DB00208	Ticlopidine	Cytochrome P450 2C19	None	None	None
DB00208	Ticlopidine	Myeloperoxidase	None	None	None
DB00208	Ticlopidine	Cytochrome P450 3A4	None	None	None
DB00208	Ticlopidine	Cytochrome P450 2C19	None	None	None
DB00208	Ticlopidine	Cytochrome P450 2C19	None	None	None
DB00208	Ticlopidine	Cytochrome P450 2D6	None	None	None
DB00208	Ticlopidine	Myeloperoxidase	None	None	None
DB00208	Ticlopidine	Myeloperoxidase	None	None	None
DB00208	Ticlopidine	Cytochrome P450 2C19	None	None	None
DB00208	Ticlopidine	Cytochrome P450 3A4	None	None	None
DB00208	Ticlopidine	Cytochrome P450 2C19	None	None	None
DB00208	Ticlopidine	Myeloperoxidase	None	None	None
DB00208	Ticlopidine	Cytochrome P450 3A4	None	None	None
DB00208	Ticlopidine	Cytochrome P450 2C19	Human	P33261	substrate
DB00208	Ticlopidine	Cytochrome P450 2D6	Human	P10635	substrate
DB00208	Ticlopidine	Cytochrome P450 3A4	Human	P08684	substrate
DB00208	Ticlopidine	Myeloperoxidase	Human	P05164	substrate
DB00208	Ticlopidine	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00208	Ticlopidine	Cytochrome P450 2C8	Human	P10632	inhibitor
DB00208	Ticlopidine	Cytochrome P450 1A2	Human	P05177	inhibitor
DB00208	Ticlopidine	Cytochrome P450 1A1	Human	P04798	inhibitor
DB00208	Ticlopidine	Cytochrome P450 2B6	Human	P20813	inhibitor
DB00208	Ticlopidine	Cytochrome P450 2E1	Human	P05181	inhibitor
DB00209	Trospium	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00211	Midodrine	Cytochrome P450 2D6	Human	P10635	inhibitor
DB00213	Pantoprazole	Cytochrome P450 2C19	Human	P33261	substrate
DB00213	Pantoprazole	Cytochrome P450 3A4	Human	P08684	substrate
DB00213	Pantoprazole	Cytochrome P450 1A2	Human	P05177	substrate
DB00213	Pantoprazole	Cytochrome P450 2C9	Human	P11712	inhibitor
DB00214	Torasemide	Cytochrome P450 2C8	None	None	None
DB00214	Torasemide	Cytochrome P450 2C9	None	None	None
DB00214	Torasemide	Cytochrome P450 2C8	Human	P10632	substrate
DB00214	Torasemide	Cytochrome P450 2C9	Human	P11712	substrate
DB00214	Torasemide	Prostaglandin G/H synthase 1	Human	P23219	substrate
